City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Punta Arenas,CL,-53.15,-70.9167,42.91,65,40,19.57,scattered clouds
79,Nazarovo,RU,56.0064,90.3914,33.8,99,100,4.85,overcast clouds
80,Nemuro,JP,43.3236,145.575,36.97,98,52,19.28,broken clouds
81,Hermanus,ZA,-34.4187,19.2345,65.8,68,30,19.82,scattered clouds
82,Bethanien,NA,-26.502,17.1583,78.6,11,0,13.06,clear sky
83,Sinjar,IQ,36.3209,41.8754,75.0,24,85,6.8,overcast clouds
84,Bethel,US,41.3712,-73.414,52.2,57,100,4.61,overcast clouds
85,Gat,IL,31.61,34.7642,92.08,28,84,4.41,broken clouds
86,Saint-Philippe,RE,-21.3585,55.7679,80.22,86,55,9.13,broken clouds
87,Amursk,RU,50.2261,136.8994,26.94,72,94,23.73,overcast clouds
88,Victoria,HK,22.2855,114.1577,74.17,70,8,1.99,clear sky
89,Houma,US,29.5958,-90.7195,79.0,86,75,15.01,mist
90,Solenzo,BF,12.1833,-4.0833,104.61,15,25,0.65,scattered clouds
91,Provideniya,RU,64.3833,-173.3,-1.55,80,83,7.9,broken clouds
92,Yellowknife,CA,62.456,-114.3525,29.41,99,75,6.91,broken clouds
93,Khatanga,RU,71.9667,102.5,-11.65,90,5,8.28,clear sky
94,Riverton,US,40.5219,-111.9391,38.16,81,100,14.0,light snow
95,Lerwick,GB,60.1545,-1.1494,41.0,61,100,5.23,overcast clouds
96,Kaseda,JP,31.4167,130.3167,57.67,57,100,7.34,overcast clouds
97,Kyabe,TD,9.4515,18.9449,102.45,20,14,2.33,few clouds
98,Gurupa,BR,-1.405,-51.64,78.84,87,100,1.32,overcast clouds
99,Grahamstown,ZA,-33.3042,26.5328,61.95,53,14,14.63,few clouds
100,Nome,US,64.5011,-165.4064,6.87,61,0,11.5,clear sky
101,Butaritari,KI,3.0707,172.7902,80.42,83,34,15.84,light rain
102,Xuanhua,CN,40.6103,115.0447,56.59,26,100,7.74,overcast clouds
103,Dandong,CN,40.1292,124.3947,44.42,28,0,10.36,clear sky
104,Esperance,AU,-33.8667,121.9,60.64,65,76,7.23,broken clouds
105,Hilo,US,19.7297,-155.09,69.53,91,100,10.36,overcast clouds
106,Hobart,AU,-42.8794,147.3294,53.46,70,100,10.36,overcast clouds
107,East London,ZA,-33.0153,27.9116,70.74,68,0,12.66,clear sky
108,Barra Do Garcas,BR,-15.89,-52.2567,90.18,55,0,0.0,clear sky
109,Nikolskoye,RU,59.7035,30.7861,37.87,94,100,14.2,overcast clouds
110,Sayyan,YE,15.1718,44.3244,68.72,8,0,17.22,clear sky
111,Margate,GB,51.3813,1.3862,61.11,70,97,1.99,overcast clouds
112,Temyasovo,RU,52.9933,58.1014,27.84,85,100,13.29,overcast clouds
113,Curuca,BR,-0.7289,-47.8481,76.39,96,100,1.92,overcast clouds
114,Boddam,GB,57.4667,-1.7833,35.98,99,100,12.21,light snow
115,Hami,CN,42.8,93.45,65.98,15,0,5.86,clear sky
116,Cabedelo,BR,-6.9811,-34.8339,84.87,70,54,12.82,broken clouds
117,Xingyi,CN,24.1877,102.817,50.18,93,88,4.7,overcast clouds
118,Brighton,GB,50.8284,-0.1395,61.41,63,40,17.27,scattered clouds
119,Durban,ZA,-29.8579,31.0292,77.92,84,45,7.0,scattered clouds
120,Yertsevo,RU,60.7966,40.086,33.48,86,100,11.74,overcast clouds
121,Noyabrsk,RU,63.1994,75.4507,35.4,100,100,18.32,overcast clouds
122,Bridlington,GB,54.0831,-0.1919,53.89,78,100,25.55,overcast clouds
123,Rawson,AR,-43.3002,-65.1023,72.63,38,13,26.73,few clouds
124,Gushikawa,JP,26.3544,127.8686,67.23,79,100,5.75,overcast clouds
125,Kavieng,PG,-2.5744,150.7967,79.16,88,100,16.46,moderate rain
126,Klaksvik,FO,62.2266,-6.589,36.52,56,100,16.73,overcast clouds
127,Arinos,BR,-15.9169,-46.1056,90.86,35,0,2.91,clear sky
128,Gravdal,NO,68.1214,13.5031,30.09,47,20,13.8,few clouds
129,Anadyr,RU,64.75,177.4833,-12.5,84,0,8.95,clear sky
130,Namibe,AO,-15.1961,12.1522,74.28,70,8,10.8,clear sky
131,San,ML,13.3034,-4.8956,105.22,7,28,6.13,scattered clouds
132,Sisimiut,GL,66.9395,-53.6735,29.66,87,93,4.05,overcast clouds
133,Kaitangata,NZ,-46.2817,169.8464,56.7,95,100,9.24,light rain
134,Hvolsvollur,IS,63.7533,-20.2243,29.07,53,100,14.61,overcast clouds
135,Shitanjing,CN,39.2342,106.3439,52.59,14,0,5.28,clear sky
136,Klyuchi,RU,52.2667,79.1667,57.79,48,75,11.18,broken clouds
137,Coahuayana,MX,18.7333,-103.6833,76.98,42,11,1.16,few clouds
138,Bilibino,RU,68.0546,166.4372,-18.71,92,4,5.1,clear sky
139,Itoman,JP,26.1247,127.6694,68.02,61,100,5.75,overcast clouds
140,Kirakira,SB,-10.4544,161.9205,79.68,87,99,10.92,light rain
141,Bengkulu,ID,-3.8004,102.2655,77.7,81,100,5.57,overcast clouds
142,Clifton,US,40.8584,-74.1638,53.74,54,100,4.61,overcast clouds
143,Port Lincoln,AU,-34.7333,135.8667,60.87,82,59,15.43,broken clouds
